date,Target Station,MAE,MAPE,RMSE,MSE
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 02:51:16,永乐店,10.173283,25.05383789539337,15.991222835157787,255.71921,0.9288662632823523
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 10:11:34,房山,6.205084,28.73978614807129,9.01758425891875,81.316826,0.9593778279422559
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 10:14:11,天坛,6.464713,41.99214279651642,9.000827751241523,81.0149,0.9585808663311854
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 10:16:37,云岗,4.7057214,25.838130712509155,7.172945894227397,51.451153,0.9699591798820556
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 10:18:01,东四环,6.727506,51.37639045715332,9.811898182679315,96.273346,0.9604819425612641
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 10:19:32,官园,6.7756634,59.225451946258545,9.13542979698731,83.45608,0.9573751231244
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 10:22:38,房山,6.1176467,37.45391368865967,8.950806855215623,80.11694,0.9599772361590783
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 10:32:48,房山,6.106461,31.198650598526,8.893730492748064,79.09844,0.9604860263734263
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 10:34:26,天坛,6.976426,38.23147714138031,10.125088161508536,102.51741,0.9475876368109029
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 10:36:43,房山,7.10937,50.16070008277893,9.768926785578454,95.43193,0.9523265633401817
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 10:37:25,天坛,7.741252,46.114540100097656,11.29166174931906,127.501625,0.9348143700560138
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 10:38:36,云岗,5.2300406,26.655861735343933,7.608926058769547,57.895756,0.9661963678058623
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 10:39:35,东四环,7.399364,50.808221101760864,10.171628981279866,103.462036,0.9575311484662249
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 10:43:11,房山,6.5389714,41.56387448310852,9.081328097780151,82.47052,0.9588014928872123
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 10:45:09,天坛,7.50903,39.9278849363327,10.57144454454077,111.75544,0.9428646670427777
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 10:47:02,云岗,5.3931694,28.367123007774353,7.71198201472611,59.474667,0.965274485460194
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 10:50:16,东四环,5.691947,29.705464839935303,8.560119743579179,73.27565,0.9699219847183044
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 10:52:19,官园,7.4153733,77.86999940872192,9.593255344027028,92.03055,0.9529957477882591
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 10:54:17,东四,5.8873954,38.59047591686249,9.076986165927837,82.39168,0.9618916185242551
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 10:57:26,北部新区,5.7509236,33.303302526474,8.901265566565433,79.23253,0.9516371849772248
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 11:00:13,丰台花园,5.8087564,31.197890639305115,8.411402601563305,70.75169,0.967225831256107
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 11:02:40,东高村,6.6499577,53.77818942070007,9.431312402072592,88.94965,0.9484666798884887
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 11:05:27,古城,5.507651,23.68760257959366,8.249252747881926,68.05017,0.96310179852521
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 11:08:42,大兴,6.9733744,36.39518320560455,10.278553710607147,105.64867,0.9560852550455048
date,Target Station,MAE,MAPE,RMSE,MSE,R2_score
29/01/2022 11:11:03,南三环,7.0029354,32.89397358894348,11.035577287321816,121.783966,0.954076444291925
